Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Christchurch Aero,4843,H32451,-43.493,172.537,37,G,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

UserName is = raazesh.sainudiin
Total number of rows output = 20904
Number of rows remaining in subscription = 1968948
Copyright NIWA 2011 Subject to NIWA's Terms and Conditions
See: http://cliflo.niwa.co.nz/pls/niwp/doc/terms.html
Comments to: cliflo@niwa.co.nz
// Raaz's Modification of the Text File
// With vi I removed time stamps ":0800" and ":0900" 
// of the daily measurements that interrupted Matlab simple dlmread
// by substitution command ":%s/:0900//g" and ":%s/:0800//g"
// Replaced missing data character '-' with 'NaN' by ":%s/-/NaN/g" in vi
// Replaced 'NaN[0-9]' by '-[0-9]' to leave minus signs alone 
// Removed the last column of "D" for "by definition i.e. grid points"
// using ':%s/,D//g'
// also moved this block from the bottom of file to here.  
// Raaz, 
// Sun 27 Mar 2011 19:26:37 NZDT

Max_min: Daily
Stationate(NZST),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
4843,19690304,23.3,24,8.7,24,NaN,NaN,NaN,NaN,NaN
4843,19690305,22.1,24,13.3,24,NaN,NaN,NaN,NaN,NaN
4843,19690306,28.2,24,13.8,24,NaN,NaN,NaN,NaN,NaN
4843,19690307,16.4,24,6.1,24,NaN,NaN,NaN,NaN,NaN
4843,19690308,19.6,24,6.8,24,NaN,NaN,NaN,NaN,NaN
4843,19690309,26.1,24,8.6,24,NaN,NaN,NaN,NaN,NaN
4843,19690310,23.3,24,11.5,24,NaN,NaN,NaN,NaN,NaN
4843,19690311,24.0,24,11.8,24,NaN,NaN,NaN,NaN,NaN
4843,19690312,17.8,24,11.0,24,NaN,NaN,NaN,NaN,NaN
4843,19690313,20.6,24,11.6,24,NaN,NaN,NaN,NaN,NaN
4843,19690314,20.5,24,12.2,24,NaN,NaN,NaN,NaN,NaN
4843,19690315,17.8,24,8.8,24,NaN,NaN,NaN,NaN,NaN
4843,19690316,28.2,24,10.9,24,NaN,NaN,NaN,NaN,NaN
4843,19690317,23.8,24,9.3,24,NaN,NaN,NaN,NaN,NaN
4843,19690318,19.4,24,11.1,24,NaN,NaN,NaN,NaN,NaN
4843,19690319,19.9,24,8.8,24,NaN,NaN,NaN,NaN,NaN
4843,19690320,18.3,24,10.5,24,NaN,NaN,NaN,NaN,NaN
4843,19690321,29.1,24,14.4,24,NaN,NaN,NaN,NaN,NaN
4843,19690322,19.4,24,4.5,24,NaN,NaN,NaN,NaN,NaN
4843,19690323,25.8,24,7.2,24,NaN,NaN,NaN,NaN,NaN
4843,19690324,20.6,24,8.0,24,NaN,NaN,NaN,NaN,NaN
4843,19690325,18.2,24,6.2,24,NaN,NaN,NaN,NaN,NaN
4843,19690326,19.6,24,11.1,24,NaN,NaN,NaN,NaN,NaN
4843,19690327,15.2,24,10.6,24,NaN,NaN,NaN,NaN,NaN
4843,19690328,19.4,24,11.0,24,NaN,NaN,NaN,NaN,NaN
4843,19690329,23.7,24,10.6,24,NaN,NaN,NaN,NaN,NaN
4843,19690330,27.6,24,14.1,24,NaN,NaN,NaN,NaN,NaN
4843,19690331,18.8,24,10.2,24,NaN,NaN,NaN,NaN,NaN
4843,19690401,17.3,24,12.6,24,NaN,NaN,NaN,NaN,NaN
4843,19690402,17.8,24,13.9,24,NaN,NaN,NaN,NaN,NaN
4843,19690403,18.1,24,13.1,24,NaN,NaN,NaN,NaN,NaN
4843,19690404,20.5,24,11.7,24,NaN,NaN,NaN,NaN,NaN
4843,19690405,15.0,24,2.8,24,NaN,NaN,NaN,NaN,NaN
4843,19690406,19.6,24,7.7,24,NaN,NaN,NaN,NaN,NaN
4843,19690407,24.4,24,7.1,24,NaN,NaN,NaN,NaN,NaN
4843,19690408,21.7,24,7.2,24,NaN,NaN,NaN,NaN,NaN
4843,19690409,15.2,24,4.9,24,NaN,NaN,NaN,NaN,NaN
4843,19690410,13.2,24,3.3,24,NaN,NaN,NaN,NaN,NaN
4843,19690411,13.9,24,6.6,24,NaN,NaN,NaN,NaN,NaN
4843,19690412,22.8,24,8.4,24,NaN,NaN,NaN,NaN,NaN
4843,19690413,24.9,24,13.2,24,NaN,NaN,NaN,NaN,NaN
4843,19690414,24.1,24,8.8,24,NaN,NaN,NaN,NaN,NaN
4843,19690415,19.3,24,8.9,24,NaN,NaN,NaN,NaN,NaN
4843,19690416,20.0,24,4.9,24,NaN,NaN,NaN,NaN,NaN
4843,19690417,13.5,24,1.7,24,NaN,NaN,NaN,NaN,NaN
4843,19690418,15.6,24,3.8,24,NaN,NaN,NaN,NaN,NaN
4843,19690419,14.4,24,7.4,24,NaN,NaN,NaN,NaN,NaN
4843,19690420,13.5,24,10.4,24,NaN,NaN,NaN,NaN,NaN
4843,19690421,15.9,24,11.6,24,NaN,NaN,NaN,NaN,NaN
4843,19690422,19.2,24,10.3,24,NaN,NaN,NaN,NaN,NaN
4843,19690423,20.7,24,10.6,24,NaN,NaN,NaN,NaN,NaN
4843,19690424,16.7,24,5.4,24,NaN,NaN,NaN,NaN,NaN
4843,19690425,11.4,24,1.4,24,NaN,NaN,NaN,NaN,NaN
4843,19690426,10.2,24,2.3,24,NaN,NaN,NaN,NaN,NaN
4843,19690427,13.3,24,1.1,24,NaN,NaN,NaN,NaN,NaN
4843,19690428,13.8,24,3.3,24,NaN,NaN,NaN,NaN,NaN
4843,19690429,10.9,24,4.3,24,NaN,NaN,NaN,NaN,NaN
4843,19690430,13.4,24,2.9,24,NaN,NaN,NaN,NaN,NaN
4843,19690501,14.4,24,5.4,24,NaN,NaN,NaN,NaN,NaN
4843,19690502,9.8,24,6.0,24,NaN,NaN,NaN,NaN,NaN
4843,19690503,16.2,24,6.3,24,NaN,NaN,NaN,NaN,NaN
4843,19690504,20.6,24,1.8,24,NaN,NaN,NaN,NaN,NaN
4843,19690505,14.9,24,4.8,24,NaN,NaN,NaN,NaN,NaN
4843,19690506,13.8,24,2.9,24,NaN,NaN,NaN,NaN,NaN
4843,19690507,12.7,24,4.9,24,NaN,NaN,NaN,NaN,NaN
4843,19690508,9.3,24,2.2,24,NaN,NaN,NaN,NaN,NaN
4843,19690509,9.8,24,4.7,24,NaN,NaN,NaN,NaN,NaN
4843,19690510,14.4,24,6.6,24,NaN,NaN,NaN,NaN,NaN
4843,19690511,16.4,24,8.6,24,NaN,NaN,NaN,NaN,NaN
4843,19690512,16.8,24,4.3,24,NaN,NaN,NaN,NaN,NaN
4843,19690513,17.3,24,6.9,24,NaN,NaN,NaN,NaN,NaN
4843,19690514,22.3,24,7.9,24,NaN,NaN,NaN,NaN,NaN
4843,19690515,11.6,24,4.3,24,NaN,NaN,NaN,NaN,NaN
4843,19690516,17.7,24,3.4,24,NaN,NaN,NaN,NaN,NaN
4843,19690517,12.8,24,3.1,24,NaN,NaN,NaN,NaN,NaN
4843,19690518,12.2,24,4.8,24,NaN,NaN,NaN,NaN,NaN
4843,19690519,10.0,24,7.4,24,NaN,NaN,NaN,NaN,NaN
4843,19690520,10.4,24,6.6,24,NaN,NaN,NaN,NaN,NaN
4843,19690521,11.9,24,7.0,24,NaN,NaN,NaN,NaN,NaN
4843,19690522,20.8,24,7.5,24,NaN,NaN,NaN,NaN,NaN
4843,19690523,15.8,24,9.4,24,NaN,NaN,NaN,NaN,NaN
4843,19690524,11.7,24,8.4,24,NaN,NaN,NaN,NaN,NaN
4843,19690525,12.4,24,1.2,24,NaN,NaN,NaN,NaN,NaN
4843,19690526,14.4,24,2.2,24,NaN,NaN,NaN,NaN,NaN
4843,19690527,11.3,24,4.3,24,NaN,NaN,NaN,NaN,NaN
4843,19690528,12.0,24,4.9,24,NaN,NaN,NaN,NaN,NaN
4843,19690529,8.3,24,2.6,24,NaN,NaN,NaN,NaN,NaN
4843,19690530,7.1,24,3.3,24,NaN,NaN,NaN,NaN,NaN
4843,19690531,7.0,24,3.4,24,NaN,NaN,NaN,NaN,NaN
4843,19690601,7.2,24,-1.3,24,NaN,NaN,NaN,NaN,NaN
4843,19690602,8.4,24,-2.1,24,NaN,NaN,NaN,NaN,NaN
4843,19690603,8.0,24,-4.3,24,NaN,NaN,NaN,NaN,NaN
4843,19690604,8.8,24,-3.9,24,NaN,NaN,NaN,NaN,NaN
4843,19690605,10.4,24,-2.8,24,NaN,NaN,NaN,NaN,NaN
4843,19690606,10.7,24,-1.6,24,NaN,NaN,NaN,NaN,NaN
4843,19690607,12.5,24,-1.7,24,NaN,NaN,NaN,NaN,NaN
4843,19690608,13.2,24,-0.7,24,NaN,NaN,NaN,NaN,NaN
4843,19690609,7.9,24,2.2,24,NaN,NaN,NaN,NaN,NaN
4843,19690610,8.7,24,-3.4,24,NaN,NaN,NaN,NaN,NaN
4843,19690611,9.1,24,-2.9,24,NaN,NaN,NaN,NaN,NaN
4843,19690612,11.7,24,-1.3,24,NaN,NaN,NaN,NaN,NaN
4843,19690613,15.5,24,-0.9,24,NaN,NaN,NaN,NaN,NaN
4843,19690614,12.3,24,0.3,24,NaN,NaN,NaN,NaN,NaN
4843,19690615,16.1,24,2.8,24,NaN,NaN,NaN,NaN,NaN
4843,19690616,15.7,24,2.9,24,NaN,NaN,NaN,NaN,NaN
4843,19690617,8.7,24,-1.1,24,NaN,NaN,NaN,NaN,NaN
4843,19690618,7.8,24,0.0,24,NaN,NaN,NaN,NaN,NaN
4843,19690619,10.1,24,0.7,24,NaN,NaN,NaN,NaN,NaN
4843,19690620,12.2,24,1.7,24,NaN,NaN,NaN,NaN,NaN
4843,19690621,9.6,24,2.6,24,NaN,NaN,NaN,NaN,NaN
4843,19690622,7.3,24,0.7,24,NaN,NaN,NaN,NaN,NaN
4843,19690623,7.6,24,-1.7,24,NaN,NaN,NaN,NaN,NaN
4843,19690624,8.4,24,1.5,24,NaN,NaN,NaN,NaN,NaN
4843,19690625,6.6,24,2.6,24,NaN,NaN,NaN,NaN,NaN
4843,19690626,10.2,24,-1.9,24,NaN,NaN,NaN,NaN,NaN
4843,19690627,13.3,24,1.2,24,NaN,NaN,NaN,NaN,NaN
4843,19690628,7.2,24,-0.1,24,NaN,NaN,NaN,NaN,NaN
4843,19690629,8.8,24,0.6,24,NaN,NaN,NaN,NaN,NaN
4843,19690630,12.2,24,0.6,24,NaN,NaN,NaN,NaN,NaN
4843,19690701,14.4,24,3.5,24,NaN,NaN,NaN,NaN,NaN
4843,19690702,7.8,24,1.1,24,NaN,NaN,NaN,NaN,NaN
4843,19690703,7.8,24,-2.6,24,NaN,NaN,NaN,NaN,NaN
4843,19690704,12.1,24,-2.2,24,NaN,NaN,NaN,NaN,NaN
4843,19690705,8.9,24,-1.1,24,NaN,NaN,NaN,NaN,NaN
4843,19690706,16.3,24,4.8,24,NaN,NaN,NaN,NaN,NaN
4843,19690707,18.1,24,4.9,24,NaN,NaN,NaN,NaN,NaN
4843,19690708,10.4,24,-0.7,24,NaN,NaN,NaN,NaN,NaN
4843,19690709,10.1,24,-1.7,24,NaN,NaN,NaN,NaN,NaN
4843,19690710,8.3,24,-1.6,24,NaN,NaN,NaN,NaN,NaN
4843,19690711,8.2,24,-0.5,24,NaN,NaN,NaN,NaN,NaN
4843,19690712,11.9,24,-0.1,24,NaN,NaN,NaN,NaN,NaN
4843,19690713,8.3,24,-3.0,24,NaN,NaN,NaN,NaN,NaN
4843,19690714,8.8,24,-1.8,24,NaN,NaN,NaN,NaN,NaN
4843,19690715,11.1,24,0.4,24,NaN,NaN,NaN,NaN,NaN
4843,19690716,13.2,24,1.8,24,NaN,NaN,NaN,NaN,NaN
4843,19690717,11.2,24,0.8,24,NaN,NaN,NaN,NaN,NaN
4843,19690718,8.9,24,1.7,24,NaN,NaN,NaN,NaN,NaN
4843,19690719,6.2,24,-0.2,24,NaN,NaN,NaN,NaN,NaN
4843,19690720,6.4,24,-3.8,24,NaN,NaN,NaN,NaN,NaN
4843,19690721,7.7,24,-3.9,24,NaN,NaN,NaN,NaN,NaN
4843,19690722,11.1,24,-3.7,24,NaN,NaN,NaN,NaN,NaN
4843,19690723,10.0,24,0.1,24,NaN,NaN,NaN,NaN,NaN
4843,19690724,12.3,24,2.7,24,NaN,NaN,NaN,NaN,NaN
4843,19690725,11.7,24,6.4,24,NaN,NaN,NaN,NaN,NaN
4843,19690726,10.0,24,4.8,24,NaN,NaN,NaN,NaN,NaN
4843,19690727,8.7,24,4.9,24,NaN,NaN,NaN,NaN,NaN
4843,19690728,9.3,24,-2.7,24,NaN,NaN,NaN,NaN,NaN
4843,19690729,9.3,24,0.3,24,NaN,NaN,NaN,NaN,NaN
4843,19690730,11.2,24,2.1,24,NaN,NaN,NaN,NaN,NaN
4843,19690731,9.2,24,-2.3,24,NaN,NaN,NaN,NaN,NaN
4843,19690801,12.3,24,-0.2,24,NaN,NaN,NaN,NaN,NaN
4843,19690802,17.8,24,6.6,24,NaN,NaN,NaN,NaN,NaN
4843,19690803,13.9,24,-1.1,24,NaN,NaN,NaN,NaN,NaN
4843,19690804,9.4,24,0.0,24,NaN,NaN,NaN,NaN,NaN
4843,19690805,16.1,24,0.6,24,NaN,NaN,NaN,NaN,NaN
4843,19690806,16.2,24,3.8,24,NaN,NaN,NaN,NaN,NaN
4843,19690807,14.6,24,5.1,24,NaN,NaN,NaN,NaN,NaN
4843,19690808,7.8,24,3.3,24,NaN,NaN,NaN,NaN,NaN
4843,19690809,16.0,24,2.8,24,NaN,NaN,NaN,NaN,NaN
4843,19690810,15.9,24,2.1,24,NaN,NaN,NaN,NaN,NaN
4843,19690811,10.2,24,-0.9,24,NaN,NaN,NaN,NaN,NaN
4843,19690812,17.2,24,0.8,24,NaN,NaN,NaN,NaN,NaN
4843,19690813,17.6,24,3.3,24,NaN,NaN,NaN,NaN,NaN
4843,19690814,20.2,24,1.8,24,NaN,NaN,NaN,NaN,NaN
4843,19690815,16.9,24,7.3,24,NaN,NaN,NaN,NaN,NaN
4843,19690816,8.9,24,1.1,24,NaN,NaN,NaN,NaN,NaN
4843,19690817,11.7,24,-0.1,24,NaN,NaN,NaN,NaN,NaN
4843,19690818,9.9,24,3.2,24,NaN,NaN,NaN,NaN,NaN
4843,19690819,10.9,24,1.3,24,NaN,NaN,NaN,NaN,NaN
4843,19690820,8.8,24,-0.5,24,NaN,NaN,NaN,NaN,NaN
4843,19690821,7.3,24,-2.2,24,NaN,NaN,NaN,NaN,NaN
4843,19690822,8.7,24,0.7,24,NaN,NaN,NaN,NaN,NaN
4843,19690823,9.8,24,4.8,24,NaN,NaN,NaN,NaN,NaN
4843,19690824,11.1,24,4.6,24,NaN,NaN,NaN,NaN,NaN
4843,19690825,9.2,24,4.9,24,NaN,NaN,NaN,NaN,NaN
4843,19690826,10.4,24,1.7,24,NaN,NaN,NaN,NaN,NaN
4843,19690827,10.8,24,2.4,24,NaN,NaN,NaN,NaN,NaN
4843,19690828,10.0,24,-1.1,24,NaN,NaN,NaN,NaN,NaN
4843,19690829,13.3,24,-0.8,24,NaN,NaN,NaN,NaN,NaN
4843,19690830,11.2,24,2.6,24,NaN,NaN,NaN,NaN,NaN
4843,19690831,12.3,24,6.0,24,NaN,NaN,NaN,NaN,NaN
4843,19690901,16.7,24,1.7,24,NaN,NaN,NaN,NaN,NaN
4843,19690902,12.8,24,5.2,24,NaN,NaN,NaN,NaN,NaN
4843,19690903,12.3,24,3.9,24,NaN,NaN,NaN,NaN,NaN
4843,19690904,21.2,24,8.6,24,NaN,NaN,NaN,NaN,NaN
4843,19690905,15.8,24,7.4,24,NaN,NaN,NaN,NaN,NaN
4843,19690906,14.9,24,6.0,24,NaN,NaN,NaN,NaN,NaN
4843,19690907,19.5,24,11.6,24,NaN,NaN,NaN,NaN,NaN
4843,19690908,22.0,24,15.8,24,NaN,NaN,NaN,NaN,NaN
4843,19690909,21.8,24,8.5,24,NaN,NaN,NaN,NaN,NaN
4843,19690910,13.3,24,7.4,24,NaN,NaN,NaN,NaN,NaN
4843,19690911,17.2,24,10.3,24,NaN,NaN,NaN,NaN,NaN
4843,19690912,20.7,24,4.9,24,NaN,NaN,NaN,NaN,NaN
4843,19690913,20.8,24,9.2,24,NaN,NaN,NaN,NaN,NaN
4843,19690914,17.8,24,5.3,24,NaN,NaN,NaN,NaN,NaN
4843,19690915,17.8,24,4.7,24,NaN,NaN,NaN,NaN,NaN
4843,19690916,12.8,24,7.9,24,NaN,NaN,NaN,NaN,NaN
4843,19690917,20.4,24,6.7,24,NaN,NaN,NaN,NaN,NaN
4843,19690918,18.0,24,4.2,24,NaN,NaN,NaN,NaN,NaN
4843,19690919,13.8,24,2.2,24,NaN,NaN,NaN,NaN,NaN
4843,19690920,12.6,24,-0.9,24,NaN,NaN,NaN,NaN,NaN
4843,19690921,17.2,24,6.7,24,NaN,NaN,NaN,NaN,NaN
4843,19690922,18.8,24,8.1,24,NaN,NaN,NaN,NaN,NaN
4843,19690923,15.1,24,7.8,24,NaN,NaN,NaN,NaN,NaN
4843,19690924,13.8,24,9.7,24,NaN,NaN,NaN,NaN,NaN
4843,19690925,13.7,24,9.8,24,NaN,NaN,NaN,NaN,NaN
4843,19690926,11.8,24,10.3,24,NaN,NaN,NaN,NaN,NaN
4843,19690927,12.0,24,7.6,24,NaN,NaN,NaN,NaN,NaN
4843,19690928,14.8,24,6.7,24,NaN,NaN,NaN,NaN,NaN
4843,19690929,15.7,24,8.8,24,NaN,NaN,NaN,NaN,NaN
4843,19690930,11.6,24,5.5,24,NaN,NaN,NaN,NaN,NaN
4843,19691001,15.6,24,6.8,24,NaN,NaN,NaN,NaN,NaN
4843,19691002,14.5,24,7.1,24,NaN,NaN,NaN,NaN,NaN
4843,19691003,10.4,24,4.5,24,NaN,NaN,NaN,NaN,NaN
4843,19691004,9.4,24,0.4,24,NaN,NaN,NaN,NaN,NaN
4843,19691005,12.1,24,1.1,24,NaN,NaN,NaN,NaN,NaN
4843,19691006,18.1,24,6.3,24,NaN,NaN,NaN,NaN,NaN
4843,19691007,10.1,24,5.1,24,NaN,NaN,NaN,NaN,NaN
4843,19691008,14.0,24,7.8,24,NaN,NaN,NaN,NaN,NaN
4843,19691009,16.6,24,7.2,24,NaN,NaN,NaN,NaN,NaN
4843,19691010,16.7,24,0.3,24,NaN,NaN,NaN,NaN,NaN
4843,19691011,8.3,24,0.6,24,NaN,NaN,NaN,NaN,NaN
4843,19691012,13.1,24,-0.2,24,NaN,NaN,NaN,NaN,NaN
4843,19691013,13.5,24,3.8,24,NaN,NaN,NaN,NaN,NaN
4843,19691014,21.6,24,5.0,24,NaN,NaN,NaN,NaN,NaN
4843,19691015,19.7,24,5.8,24,NaN,NaN,NaN,NaN,NaN
4843,19691016,21.3,24,5.3,24,NaN,NaN,NaN,NaN,NaN
4843,19691017,21.1,24,6.9,24,NaN,NaN,NaN,NaN,NaN
4843,19691018,12.4,24,4.5,24,NaN,NaN,NaN,NaN,NaN
4843,19691019,16.3,24,2.8,24,NaN,NaN,NaN,NaN,NaN
4843,19691020,20.1,24,3.9,24,NaN,NaN,NaN,NaN,NaN
4843,19691021,15.0,24,4.5,24,NaN,NaN,NaN,NaN,NaN
4843,19691022,21.3,24,10.9,24,NaN,NaN,NaN,NaN,NaN
4843,19691023,21.1,24,5.3,24,NaN,NaN,NaN,NaN,NaN
4843,19691024,22.1,24,8.3,24,NaN,NaN,NaN,NaN,NaN
4843,19691025,16.1,24,8.9,24,NaN,NaN,NaN,NaN,NaN
4843,19691026,14.9,24,3.6,24,NaN,NaN,NaN,NaN,NaN
4843,19691027,20.1,24,4.4,24,NaN,NaN,NaN,NaN,NaN
4843,19691028,8.8,24,0.9,24,NaN,NaN,NaN,NaN,NaN
4843,19691029,13.3,24,6.3,24,NaN,NaN,NaN,NaN,NaN
4843,19691030,17.7,24,6.7,24,NaN,NaN,NaN,NaN,NaN
4843,19691031,14.4,24,8.9,24,NaN,NaN,NaN,NaN,NaN
4843,19691101,13.3,24,6.8,24,NaN,NaN,NaN,NaN,NaN
4843,19691102,13.2,24,2.7,24,NaN,NaN,NaN,NaN,NaN
4843,19691103,15.0,24,3.2,24,NaN,NaN,NaN,NaN,NaN
4843,19691104,18.2,24,7.9,24,NaN,NaN,NaN,NaN,NaN
4843,19691105,19.0,24,8.5,24,NaN,NaN,NaN,NaN,NaN
4843,19691106,21.3,24,7.8,24,NaN,NaN,NaN,NaN,NaN
4843,19691107,26.1,24,7.4,24,NaN,NaN,NaN,NaN,NaN
4843,19691108,27.7,24,11.5,24,NaN,NaN,NaN,NaN,NaN
4843,19691109,17.7,24,10.9,24,NaN,NaN,NaN,NaN,NaN
4843,19691110,22.1,24,13.8,24,NaN,NaN,NaN,NaN,NaN
4843,19691111,26.7,24,9.8,24,NaN,NaN,NaN,NaN,NaN
4843,19691112,16.7,24,11.1,24,NaN,NaN,NaN,NaN,NaN
4843,19691113,19.4,24,10.4,24,NaN,NaN,NaN,NaN,NaN
4843,19691114,15.8,24,10.7,24,NaN,NaN,NaN,NaN,NaN
4843,19691115,21.1,24,10.3,24,NaN,NaN,NaN,NaN,NaN
4843,19691116,17.3,24,8.6,24,NaN,NaN,NaN,NaN,NaN
4843,19691117,17.2,24,12.4,24,NaN,NaN,NaN,NaN,NaN
4843,19691118,27.2,24,11.1,24,NaN,NaN,NaN,NaN,NaN
4843,19691119,20.1,24,13.5,24,NaN,NaN,NaN,NaN,NaN
4843,19691120,23.1,24,11.4,24,NaN,NaN,NaN,NaN,NaN
4843,19691121,23.8,24,9.2,24,NaN,NaN,NaN,NaN,NaN
4843,19691122,24.2,24,10.2,24,NaN,NaN,NaN,NaN,NaN
4843,19691123,13.4,24,7.2,24,NaN,NaN,NaN,NaN,NaN
4843,19691124,13.8,24,3.3,24,NaN,NaN,NaN,NaN,NaN
4843,19691125,15.8,24,5.6,24,NaN,NaN,NaN,NaN,NaN
4843,19691126,16.8,24,11.3,24,NaN,NaN,NaN,NaN,NaN
4843,19691127,16.1,24,12.7,24,NaN,NaN,NaN,NaN,NaN
4843,19691128,17.7,24,12.2,24,NaN,NaN,NaN,NaN,NaN
4843,19691129,18.4,24,13.8,24,NaN,NaN,NaN,NaN,NaN
4843,19691130,19.8,24,13.4,24,NaN,NaN,NaN,NaN,NaN
4843,19691201,20.6,24,12.6,24,NaN,NaN,NaN,NaN,NaN
4843,19691202,21.4,24,14.8,24,NaN,NaN,NaN,NaN,NaN
4843,19691203,21.1,24,14.1,24,NaN,NaN,NaN,NaN,NaN
4843,19691204,21.2,24,14.0,24,NaN,NaN,NaN,NaN,NaN
4843,19691205,26.8,24,11.1,24,NaN,NaN,NaN,NaN,NaN
4843,19691206,17.8,24,9.9,24,NaN,NaN,NaN,NaN,NaN
4843,19691207,21.7,24,10.7,24,NaN,NaN,NaN,NaN,NaN
4843,19691208,27.3,24,12.3,24,NaN,NaN,NaN,NaN,NaN
4843,19691209,26.7,24,10.8,24,NaN,NaN,NaN,NaN,NaN
4843,19691210,18.8,24,10.7,24,NaN,NaN,NaN,NaN,NaN
4843,19691211,21.1,24,12.8,24,NaN,NaN,NaN,NaN,NaN
4843,19691212,29.1,24,10.6,24,NaN,NaN,NaN,NaN,NaN
4843,19691213,14.5,24,10.7,24,NaN,NaN,NaN,NaN,NaN
4843,19691214,16.6,24,10.0,24,NaN,NaN,NaN,NaN,NaN
4843,19691215,18.4,24,14.5,24,NaN,NaN,NaN,NaN,NaN
4843,19691216,20.6,24,13.4,24,NaN,NaN,NaN,NaN,NaN
4843,19691217,27.8,24,13.2,24,NaN,NaN,NaN,NaN,NaN
4843,19691218,15.0,24,12.8,24,NaN,NaN,NaN,NaN,NaN
4843,19691219,21.1,24,13.2,24,NaN,NaN,NaN,NaN,NaN
4843,19691220,20.4,24,14.6,24,NaN,NaN,NaN,NaN,NaN
4843,19691221,24.3,24,14.4,24,NaN,NaN,NaN,NaN,NaN
4843,19691222,30.0,24,11.1,24,NaN,NaN,NaN,NaN,NaN
4843,19691223,20.8,24,14.8,24,NaN,NaN,NaN,NaN,NaN
4843,19691224,23.0,24,17.0,24,NaN,NaN,NaN,NaN,NaN
4843,19691225,28.6,24,15.3,24,NaN,NaN,NaN,NaN,NaN
4843,19691226,24.4,24,12.1,24,NaN,NaN,NaN,NaN,NaN
4843,19691227,17.4,24,9.4,24,NaN,NaN,NaN,NaN,NaN
4843,19691228,20.1,24,11.6,24,NaN,NaN,NaN,NaN,NaN
4843,19691229,23.2,24,10.4,24,NaN,NaN,NaN,NaN,NaN
4843,19691230,22.9,24,11.1,24,NaN,NaN,NaN,NaN,NaN
4843,19691231,28.0,24,11.0,24,NaN,NaN,NaN,NaN,NaN
4843,19700101,22.2,24,14.1,24,NaN,NaN,NaN,NaN,NaN
4843,19700102,29.7,24,13.6,24,NaN,NaN,NaN,NaN,NaN
4843,19700103,25.0,24,16.0,24,NaN,NaN,NaN,NaN,NaN
4843,19700104,27.2,24,16.7,24,NaN,NaN,NaN,NaN,NaN
4843,19700105,21.8,24,17.2,24,NaN,NaN,NaN,NaN,NaN
4843,19700106,25.2,24,16.4,24,NaN,NaN,NaN,NaN,NaN
4843,19700107,22.5,24,9.9,24,NaN,NaN,NaN,NaN,NaN
4843,19700108,13.8,24,4.4,24,NaN,NaN,NaN,NaN,NaN
4843,19700109,17.8,24,11.7,24,NaN,NaN,NaN,NaN,NaN
4843,19700110,18.3,24,12.0,24,NaN,NaN,NaN,NaN,NaN
4843,19700111,19.4,24,12.9,24,NaN,NaN,NaN,NaN,NaN
4843,19700112,25.6,24,14.4,24,NaN,NaN,NaN,NaN,NaN
4843,19700113,23.1,24,15.6,24,NaN,NaN,NaN,NaN,NaN
4843,19700114,30.8,24,16.4,24,NaN,NaN,NaN,NaN,NaN
4843,19700115,23.9,24,11.7,24,NaN,NaN,NaN,NaN,NaN
4843,19700116,18.1,24,8.3,24,NaN,NaN,NaN,NaN,NaN
4843,19700117,20.6,24,13.9,24,NaN,NaN,NaN,NaN,NaN
4843,19700118,19.4,24,13.5,24,NaN,NaN,NaN,NaN,NaN
4843,19700119,30.1,24,10.7,24,NaN,NaN,NaN,NaN,NaN
4843,19700120,19.3,24,10.9,24,NaN,NaN,NaN,NaN,NaN
4843,19700121,24.6,24,14.7,24,NaN,NaN,NaN,NaN,NaN
4843,19700122,20.2,24,13.9,24,NaN,NaN,NaN,NaN,NaN
4843,19700123,17.9,24,13.6,24,NaN,NaN,NaN,NaN,NaN
4843,19700124,18.2,24,14.1,24,NaN,NaN,NaN,NaN,NaN
4843,19700125,19.9,24,15.7,24,NaN,NaN,NaN,NaN,NaN
4843,19700126,26.7,24,15.6,24,NaN,NaN,NaN,NaN,NaN
4843,19700127,32.2,24,18.7,24,NaN,NaN,NaN,NaN,NaN
4843,19700128,27.1,24,15.6,24,NaN,NaN,NaN,NaN,NaN
4843,19700129,29.2,24,10.6,24,NaN,NaN,NaN,NaN,NaN
4843,19700130,17.9,24,10.6,24,NaN,NaN,NaN,NaN,NaN
4843,19700131,18.2,24,8.6,24,NaN,NaN,NaN,NaN,NaN
4843,19700201,19.1,24,9.3,24,NaN,NaN,NaN,NaN,NaN
4843,19700202,19.2,24,12.6,24,NaN,NaN,NaN,NaN,NaN
4843,19700203,16.4,24,4.8,24,NaN,NaN,NaN,NaN,NaN
4843,19700204,18.2,24,10.3,24,NaN,NaN,NaN,NaN,NaN
4843,19700205,17.9,24,9.4,24,NaN,NaN,NaN,NaN,NaN
4843,19700206,29.4,24,14.7,24,NaN,NaN,NaN,NaN,NaN
